"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"SingleFamily",1976,"0.20 Acres",6,4,"5,626","$696,018","https://www.zillow.com/homedetails/2388-S-Claremont-Dr-Bountiful-UT-84010/12672722_zpid/"
"SingleFamily",1962,"0.21 Acres",4,3,"2,900","$456,818","https://www.zillow.com/homedetails/766-N-750-E-Bountiful-UT-84010/12668148_zpid/"
"SingleFamily",1962,"0.54 Acres",4,2,"2,150","$427,250","https://www.zillow.com/homedetails/847-W-3600-S-Bountiful-UT-84010/12658361_zpid/"
"SingleFamily",1965,"10,018 sqft",5,3,"2,800","$489,219","https://www.zillow.com/homedetails/742-S-850-E-Bountiful-UT-84010/12669710_zpid/"
"SingleFamily",1971,"9,583 sqft",4,3,"2,995","$533,468","https://www.zillow.com/homedetails/2964-S-Davis-Blvd-Bountiful-UT-84010/12671829_zpid/"
"Townhouse",2005,"0.01 Acres",3,2,"1,832","$326,613","https://www.zillow.com/homedetails/1710-Pages-Pl-Bountiful-UT-84010/68453314_zpid/"
"SingleFamily",1956,"10,018 sqft",4,2,"2,302","$415,185","https://www.zillow.com/homedetails/473-E-775-N-Bountiful-UT-84010/12668058_zpid/"
"SingleFamily",2003,"0.54 Acres",6,6,"7,504","$1,573,937","https://www.zillow.com/homedetails/4314-S-Monarch-Dr-Bountiful-UT-84010/68429332_zpid/"
"SingleFamily",1957,"0.20 Acres",5,3,"3,234","$388,849","https://www.zillow.com/homedetails/710-N-550-E-Bountiful-UT-84010/12668062_zpid/"
"Condo",1974,NA,2,1,"1,036","$202,790","https://www.zillow.com/homedetails/290-N-500-W-APT-205-Bountiful-UT-84010/68430006_zpid/"
"SingleFamily",1957,"0.40 Acres",5,2,"2,552","$408,851","https://www.zillow.com/homedetails/490-Mill-St-Bountiful-UT-84010/12669548_zpid/"
"SingleFamily",1900,"0.30 Acres",3,2,"1,898","$422,278","https://www.zillow.com/homedetails/92-N-200-E-Bountiful-UT-84010/12664948_zpid/"
NA,NA,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/1764-Stone-Ridge-Dr-206-Bountiful-UT-84010/2073104826_zpid/"
"SingleFamily",1962,"0.33 Acres",4,3,"2,694","$518,544","https://www.zillow.com/homedetails/607-W-3100-S-Bountiful-UT-84010/12658468_zpid/"
"SingleFamily",1983,"435 sqft",3,4,"1,508","$305,895","https://www.zillow.com/homedetails/552-Applewood-Dr-Bountiful-UT-84010/12659635_zpid/"
"SingleFamily",1977,"9,147 sqft",4,3,"2,668","$460,838","https://www.zillow.com/homedetails/989-Chelsea-Dr-Bountiful-UT-84010/12657262_zpid/"
"MultiFamily",1958,NA,5,3,"3,075","$436,129","https://www.zillow.com/homedetails/3388-S-Orchard-Dr-Bountiful-UT-84010/2078291514_zpid/"
"SingleFamily",1917,"8,276 sqft",1,1,"996","$358,550","https://www.zillow.com/homedetails/995-S-Orchard-Dr-Bountiful-UT-84010/2078019529_zpid/"
"SingleFamily",1992,"8,276 sqft",5,4,"3,100","$506,799","https://www.zillow.com/homedetails/289-W-800-N-Bountiful-UT-84010/12667438_zpid/"
"SingleFamily",1991,"7,840 sqft",5,3,"2,797","$500,255","https://www.zillow.com/homedetails/911-N-275-W-Bountiful-UT-84010/12667432_zpid/"
"MultiFamily",2018,NA,4,4,"3,768",NA,"https://www.zillow.com/homedetails/390-E-Sycamore-Grove-Ln-Bountiful-UT-84010/2072296758_zpid/"
"SingleFamily",2018,"1,742 sqft",3,2,"331","$583,530","https://www.zillow.com/homedetails/390-E-Sycamore-Grove-Ln-North-Salt-Lake-UT-84054/249102611_zpid/"
"Apartment",1955,NA,3,1,"1,300","$511,334","https://www.zillow.com/homedetails/1225-N-West-200-Bountiful-UT-84010/12663812_zpid/"
"SingleFamily",1969,"8,276 sqft",4,3,"2,334","$456,915","https://www.zillow.com/homedetails/387-E-2200-S-Bountiful-UT-84010/12670904_zpid/"
"SingleFamily",1909,"0.19 Acres",4,3,"2,629","$451,621","https://www.zillow.com/homedetails/380-E-1500-S-Bountiful-UT-84010/12665542_zpid/"
"SingleFamily",1961,"0.20 Acres",5,3,"2,322","$413,068","https://www.zillow.com/homedetails/1595-S-100-E-Bountiful-UT-84010/12666864_zpid/"
"SingleFamily",1986,"0.23 Acres",3,3,"2,706","$483,565","https://www.zillow.com/homedetails/3677-Oakridge-Dr-Bountiful-UT-84010/12657932_zpid/"
"Townhouse",2020,"0.02 Acres",3,3,"1,622","$343,401","https://www.zillow.com/homedetails/620-N-Orchard-Dr-21-North-Salt-Lake-UT-84054/2079128115_zpid/"
"SingleFamily",1907,"0.22 Acres",3,1,"1,168","$322,644","https://www.zillow.com/homedetails/923-N-400-E-Bountiful-UT-84010/12664469_zpid/"
"SingleFamily",1978,"0.32 Acres",4,4,"3,290","$606,964","https://www.zillow.com/homedetails/771-E-East-Hills-Dr-Bountiful-UT-84010/12662240_zpid/"
"SingleFamily",1977,"0.26 Acres",4,4,"3,203","$542,510","https://www.zillow.com/homedetails/1187-E-2050-S-Bountiful-UT-84010/12672894_zpid/"
"SingleFamily",1992,"0.33 Acres",5,4,"4,923","$771,396","https://www.zillow.com/homedetails/1213-Northridge-Dr-Bountiful-UT-84010/12668318_zpid/"
"SingleFamily",1966,"0.25 Acres",5,3,"2,900","$514,060","https://www.zillow.com/homedetails/2868-S-450-W-Bountiful-UT-84010/12671646_zpid/"
"SingleFamily",1957,"0.30 Acres",4,3,"3,800","$692,310","https://www.zillow.com/homedetails/444-N-1000-E-Bountiful-UT-84010/12667765_zpid/"
"Condo",1978,NA,3,2,"1,088","$238,043","https://www.zillow.com/homedetails/1905-S-Main-St-4-Bountiful-UT-84010/68018245_zpid/"
"SingleFamily",1977,"0.26 Acres",4,3,"2,600","$470,154","https://www.zillow.com/homedetails/3609-S-Lexington-Dr-Bountiful-UT-84010/2078270890_zpid/"
